dimension_id,KEY,NAME,parent_key,FULLNAME,UNIT,TIMESTAMP,SOURCES,METHODOLOGY,COMMENT,VISIBILITY,ISCALCULATED
RDS_DICT_INDICATORS_NSO,27524189,Blé tendre,27524169,Evolution des superficies ensemencées en blé tendre,Hectar,18/03/2024 13:44:19,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524199,Orge,27524169,Evolution des superficies ensemencées en orge,Hectar,18/03/2024 13:44:19,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524209,Triticale,27524169,Evolution des superficies ensemencées en triticale,Hectar,18/03/2024 13:44:20,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524219,Superficie récoltée,27523449,Superficie récoltée des terres consacrées à la production végétale (ha),Hectar,26/11/2014 07:15:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524229,Total céréale,27524219,Superficie récoltée des terres consacrées à la production des céréales,Hectar,17/04/2024 15:32:32,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524239,Céréales (sans riz),27524229,Superficie récoltée des terres consacrées à la production des céréales (sans riz),Hectar,17/04/2024 15:28:37,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524249,Blé tendre et épeautres,27524239,Superficie récoltée des terres consacrées à la production du blé tendre et épeautres,Hectar,17/04/2024 15:32:06,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524259,Blé dur,27524239,Superficie récoltée des terres consacrées à la production du blé dur,Hectar,17/04/2024 15:32:06,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524269,Seigle et méteil,27524239,Superficie récoltée des terres consacrées à la production du seigle et méteil,Hectar,17/04/2024 15:32:06,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524279,Orge,27524239,Superficie récoltée des terres consacrées à la production d'orge,Hectar,17/04/2024 15:32:06,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524309,"Légumineuses sèches, en grains",27524219,"Superficie récoltée des terres consacrées à la production des légumineuses sèches, en grains",Hectar,21/04/2016 15:33:03,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524319,Total plantes sarclées,27524219,Superficie récoltée des terres consacrées à la production des plantes sarclées,Hectar,21/04/2016 15:33:03,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524329,Pommes de terre,27524319,Superficie récoltée des terres consacrées à la production des pommes de terre,Hectar,21/04/2016 15:33:03,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524339,Betteraves sucrières,27524319,Superficie récoltée des terres consacrées à la production des betteraves sucrières,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524359,Toutes plantes oléagineuses,27524219,Superficie récoltée des terres consacrées à la production des plantes oléagineuses,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524369,Tournesol,27524359,Superficie récoltée des terres consacrées à la production du tournesol,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524379,"Total légumes frais, incluant les jardins familiaux",27524219,"Superficie récoltée des terres consacrées à la production des légumes frais, incluant les jardins familiaux",Hectar,21/04/2016 15:32:51,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524389,Légumes frais excluant les jardins familiaux,27524379,Superficie récoltée des terres consacrées à la production des légumes frais excluant les jardins familiaux,Hectar,21/04/2016 15:32:51,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524399,"Total fruits y compris jardins familiaux (excluant raisins, olives and dattes)",27524219,"Superficie récoltée des terres consacrées à la production des fruits y compris jardins familiaux (excluant raisins, olives and dattes)",Hectar,21/04/2016 15:33:00,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524409,Pommes,27524399,Superficie récoltée des terres consacrées à la production des pommes,Hectar,17/04/2024 15:23:10,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524419,Poires,27524399,Superficie récoltée des terres consacrées à la production des poires,Hectar,17/04/2024 15:23:10,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524429,Pêches,27524399,Superficie récoltée des terres consacrées à la production des pêches,Hectar,17/04/2024 15:23:10,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524439,Abricots,27524399,Superficie récoltée des terres consacrées à la production des abricots,Hectar,17/04/2024 15:23:10,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524449,Cerises,27524399,Superficie récoltée des terres consacrées à la production des cerises,Hectar,17/04/2024 15:23:09,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524459,Prunes,27524399,Superficie récoltée des terres consacrées à la production des prunes,Hectar,17/04/2024 15:23:09,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524469,Amandes,27524399,Superficie récoltée des terres consacrées à la production des amandes,Hectar,17/04/2024 15:23:10,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524479,Figues,27524399,Superficie récoltée des terres consacrées à la production des figues,Hectar,17/04/2024 15:23:09,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524499,Total agrumes,27524219,Superficie récoltée des terres consacrées à la production des agrumes,Hectar,17/04/2024 15:10:07,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524509,Oranges,27524499,Superficie récoltée des terres consacrées à la production d'oranges,Hectar,17/04/2024 15:09:25,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524519,Mandarines,27524499,Superficie récoltée des terres consacrées à la production des mandarines,Hectar,17/04/2024 15:09:26,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524529,"Tangerines, Clémentines",27524499,"Superficie récoltée des terres consacrées à la production des tangerines, clémentines",Hectar,21/04/2016 15:32:51,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524539,"Citrons, Citrons verts",27524499,"Superficie récoltée des terres consacrées à la production des citrons, citrons verts",Hectar,17/04/2024 15:09:26,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524559,"Autres agrumes, n.d.a.",27524499,"Superficie récoltée des terres consacrées à la production des autres agrumes, n.d.a.",Hectar,17/04/2024 15:09:26,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524569,Total raisins,27524219,Superficie récoltée des terres consacrées à la production des raisins,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524579,Raisins de table Pour la table,27524569,Superficie récoltée des terres consacrées à la production des raisins de table Pour la table,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524589,Raisins de cuve Pour jus et vinification,27524569,Superficie récoltée des terres consacrées à la production des raisins de cuve Pour jus et vinification,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524599,Total olives,27524219,Superficie récoltée des terres consacrées à la production des olives,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524609,Olives de table,27524599,Superficie récoltée des terres consacrées à la production des olives de table,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524629,Olives à huile,27524599,Superficie récoltée des terres consacrées à la production des olives à huile,Hectar,17/04/2024 15:24:13,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524639,Dattes,27524219,Superficie récoltée des terres consacrées à la production des dattes,Hectar,17/04/2024 15:13:06,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524649,Total plantes industrielles,27524219,Superficie récoltée des terres consacrées à la production des plantes industrielles,Hectar,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524659,Toutes plantes textiles,27524219,Superficie récoltée des terres consacrées à la production des plantes textiles,Hectar,21/04/2016 15:32:51,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524669,Tabac brut,27524219,Superficie récoltée des terres consacrées à la production du Tabac brut,Hectar,17/04/2024 15:17:57,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524679,Total fourrages,27524219,Superficie récoltée des terres consacrées à la production du fourrages,Hectar,21/04/2016 15:32:51,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524689,Production récoltée,27523449,Production agricole récoltée,Tonne,26/11/2014 07:15:42,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524699,Total céréale,27524689,Total de la production récoltée du céréale (tonnes),Tonne,21/04/2016 15:33:04,Ministère  de l'Agriculture,,,"1, 2",
